GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-simulator,com.app.txt.save.generic,AbstractSave,0,7,0,0,0,2,0,1,0,1
shopping-simulator,com.app.txt.save.impl,ClientSave,0,4,0,0,0,2,0,1,0,1
shopping-simulator,com.app.txt.save.impl,ProductSave,0,4,0,0,0,2,0,1,0,1
shopping-simulator,com.app.txt.transfer.impl,TransferImpl,0,105,0,14,0,25,0,11,0,4
shopping-simulator,com.app.txt.load.generic,AbstractLoad,0,6,0,0,0,1,0,1,0,1
shopping-simulator,com.app.client,ClientValidator,0,73,0,10,0,17,0,7,0,2
shopping-simulator,com.app.client,ClientMapper,0,11,0,0,0,2,0,3,0,3
shopping-simulator,com.app.client,Client,0,60,0,8,0,14,0,5,0,1
shopping-simulator,com.app.validators,Validator,0,29,0,6,0,8,0,4,0,1
shopping-simulator,com.app.validators,PreferencesValidator,0,58,0,8,0,12,0,5,0,1
shopping-simulator,com.app.parser.impl,ClientLineParser,0,93,0,6,0,20,0,6,0,3
shopping-simulator,com.app.parser.impl,PreferencesLineParser,0,56,0,6,0,13,0,5,0,2
shopping-simulator,com.app.parser.impl,ProductLineParser,0,83,0,6,0,16,0,5,0,2
shopping-simulator,com.app.txt.load.impl,PreferencesLoad,0,4,0,0,0,2,0,1,0,1
shopping-simulator,com.app.txt.load.impl,ClientLoad,0,4,0,0,0,2,0,1,0,1
shopping-simulator,com.app.txt.load.impl,ProductLoad,0,4,0,0,0,2,0,1,0,1
shopping-simulator,com.app.product,Product,0,8,0,0,0,1,0,1,0,1
shopping-simulator,com.app.product,ProductComparators,0,7,0,0,0,1,0,2,0,2
shopping-simulator,com.app.product,ProductMapper,0,20,0,0,0,4,0,5,0,5
shopping-simulator,com.app.product,ProductValidator,0,48,0,6,0,12,0,5,0,2
shopping-simulator,com.app.service.impl,ShopServiceImpl,0,260,0,6,0,79,0,30,0,27
shopping-simulator,com.app.service.impl,ProductServiceImpl,0,79,0,4,0,30,0,9,0,7
shopping-simulator,com.app.repository.impl,ShopRepositoryImpl,0,59,0,4,0,16,0,7,0,5
shopping-simulator,com.app.repository.impl,PreferencesRepositoryImpl,0,47,0,2,0,10,0,5,0,4
shopping-simulator,com.app.repository.impl,ProductRepositoryImpl,0,47,0,2,0,13,0,5,0,4
shopping-simulator,com.app.repository.impl,ClientRepositoryImpl,0,38,0,2,0,7,0,4,0,3
shopping-simulator,com.app.collectors,ProductStatisticCollector,6,75,0,2,2,24,1,8,1,7
